Country_x,Country Name,Uncertainty Avoidance Societal Practices,Future Orientation Societal Practices,Power Distance Societal Practices,Collectivism I Societal Practices (Institutional Collectivism),Humane Orientation Societal Practices,Performance Orientation Societal Practices,Collectivism II Societal Practices (In-group Collectivism),Gender Egalitarianism Societal Practices,Assertiveness Societal Practices ,Uncertainty Avoidance Societal Values,Future Orientation Societal Values,Power Distance Societal Values,Collectivism I Societal Values (Institutional Collectivism),Human Orientation Societal Values,Performance Orientation Societal Values,Collectivism II Societal Values (In-group Collectivism),Gender Egalitarianism Societal Values,Assertiveness Societal Values,Country Cluster_x,Country_y,Performance Oriented,Autocratic,Modesty,Charismatic 3: Self-sacrifice,Team 1: Collaborative Team Orientation,Decisive,Diplomatic,Face-saver,Charismatic 1: Visionary,Humane-oriented,Integrity,"Bureaucratic, Originally Labeled _Procedural_",Administratively Competent,Self-centred,Autonomous,Status Conscious,Charismatic 2: Inspirational,Malevolent,Team 2: Team Integrator,"Internally Competitive, Originally Labeled _Conflict Inducer_",Participative,Charismatic/Value-based Global Leadership Dimension,Team-Oriented Global Leadership Dimension,Self-Protective Global Leadership Dimension,Participative Global Leadership Dimension,Humane-Oriented Global Leadership Dimension,Autonomous Global Leadership Dimension,Country Cluster_y
22,Kazakhstan,3.66,3.57,5.31,4.29,3.99,3.57,5.26,3.84,4.46,4.42,5.05,3.15,4.04,5.62,5.41,5.44,4.75,3.84,Eastern Europe,22,5.97,2.94,4.14,4.5,4.9,5.76,5.92,2.89,5.88,4.46,5.65,3.64,5.85,2.29,4.58,3.55,5.46,1.85,5.83,4.23,5.13,5.54,5.73,3.35,5.1,4.26,4.58,Eastern Europe
23,Zimbabwe,4.15,3.77,5.67,4.12,4.45,4.24,5.57,3.04,4.06,4.73,6.07,2.67,4.87,5.19,6.45,5.85,4.46,4.6,Sub-Sahara Africa ,23,6.16,2.35,5.39,5.31,5.59,6.29,5.59,2.34,6.27,4.92,6.14,3.73,6.08,1.87,3.37,4.34,6.46,1.61,6.21,3.79,5.5,6.11,5.97,3.2,5.57,5.18,3.37,Sub-Sahara Africa 
24,Qatar,3.99,3.78,4.73,4.5,4.42,3.45,4.71,3.63,4.11,4.82,5.92,3.23,5.13,5.3,5.96,5.6,3.38,3.8,Middle East,24,4.51,3.12,4.34,4.52,4.42,3.62,4.49,3.57,4.62,5.47,4.83,4.13,4.74,2.65,3.38,4.24,5.04,2.03,4.1,4.81,4.62,4.51,4.74,3.91,4.75,4.66,3.38,Middle East
26,South Korea,3.55,3.97,5.61,5.2,3.81,4.55,5.54,2.5,4.4,4.67,5.69,2.55,3.9,5.6,5.25,5.41,4.22,3.75,Confucian Asia,26,5.18,3.77,5.1,5.3,5.28,5.63,5.28,3.29,5.76,4.6,5.62,3.94,5.62,2.25,4.21,4.43,5.74,2.16,5.64,4.45,5.58,5.53,5.52,3.67,4.92,4.87,4.21,Confucian Asia
27,Morocco,3.65,3.26,5.8,3.87,4.19,3.99,5.87,2.84,4.52,5.32,5.85,3.11,5.0,5.51,5.76,5.68,3.74,3.44,Middle East,27,5.1,2.75,4.31,4.1,4.75,4.7,5.13,2.76,4.84,3.88,5.03,3.75,5.16,2.17,3.34,3.74,5.09,2.3,4.99,3.74,5.39,4.81,5.15,3.26,5.32,4.1,3.34,Middle East
28,Portugal,3.91,3.71,5.44,3.92,3.91,3.6,5.51,3.66,3.65,4.43,5.43,2.38,5.3,5.31,6.4,5.94,5.13,3.58,Latin Europe,28,6.18,2.3,4.78,4.33,5.72,5.31,5.77,2.3,6.11,4.45,6.21,3.19,5.55,1.97,3.19,4.33,6.27,1.67,6.18,3.81,5.26,5.75,5.92,3.1,5.48,4.62,3.19,Latin Europe
29,China,4.94,3.75,5.04,4.77,4.36,4.45,5.8,3.05,3.76,5.28,4.73,3.1,4.56,5.32,5.67,5.09,3.68,5.44,Confucian Asia,29,5.64,2.66,5.03,4.7,5.71,5.29,5.05,3.97,5.85,5.4,5.98,3.94,5.88,2.22,4.07,4.47,5.92,2.04,5.36,4.4,4.76,5.56,5.57,3.8,5.04,5.19,4.07,Confucian Asia
31,Japan,4.07,4.29,5.11,5.19,4.3,4.22,4.63,3.19,3.59,4.33,5.25,2.86,3.99,5.41,5.17,5.26,4.33,5.56,Confucian Asia,31,5.73,3.18,4.93,4.57,5.14,5.7,5.28,3.39,5.63,4.39,5.55,3.9,5.89,2.28,3.67,4.0,5.74,2.12,5.67,4.34,5.31,5.49,5.56,3.6,5.07,4.68,3.67,Confucian Asia
32,Colombia,3.57,3.27,5.56,3.81,3.72,3.94,5.73,3.67,4.2,4.98,5.68,2.04,5.38,5.61,6.42,6.25,5.0,3.43,Latin America,32,6.39,2.44,5.43,5.21,5.9,5.52,5.63,2.5,6.36,4.56,6.43,3.78,6.11,1.91,3.34,4.51,6.34,1.59,6.3,4.19,5.46,6.04,6.07,3.37,5.51,5.05,3.34,Latin America
34,Albania,4.57,3.86,4.62,4.54,4.64,4.81,5.74,3.71,4.89,5.37,5.42,3.52,4.44,5.34,5.63,5.22,4.19,4.41,Eastern Europe,34,5.74,3.39,5.41,5.12,5.66,6.2,5.88,4.63,5.97,5.03,5.94,4.65,6.16,3.16,3.98,5.74,5.84,1.7,5.73,4.93,4.39,5.79,5.94,4.62,4.5,5.24,3.98,Eastern Europe
35,Turkey,3.63,3.74,5.57,4.03,3.94,3.83,5.88,2.89,4.53,4.67,5.83,2.41,5.26,5.52,5.39,5.77,4.5,2.66,Middle East,35,5.91,3.22,4.82,5.03,5.7,6.29,5.74,2.99,6.25,5.02,6.16,4.02,6.13,1.93,3.83,4.91,6.08,1.76,6.28,4.17,5.38,5.95,6.01,3.57,5.09,4.9,3.83,Middle East
37,Finland,5.02,4.24,4.89,4.63,3.96,3.81,4.07,3.35,3.81,3.85,5.07,2.19,4.11,5.81,6.11,5.42,4.24,3.68,Nordic Europe,37,6.04,2.11,4.52,4.22,5.54,5.97,5.41,2.05,6.29,4.06,6.52,2.87,5.32,1.55,4.08,3.15,6.42,1.47,6.35,3.1,5.92,5.94,5.85,2.55,5.91,4.3,4.08,Nordic Europe
38,Poland,3.62,3.11,5.1,4.53,3.61,3.89,5.52,4.02,4.06,4.71,5.2,3.12,4.22,5.3,6.12,5.74,4.52,3.9,Eastern Europe,38,5.87,3.21,5.0,4.61,5.55,6.0,6.01,3.1,6.03,4.03,5.58,3.89,6.11,2.1,4.34,4.54,5.87,1.77,6.03,4.05,5.28,5.67,5.98,3.52,5.04,4.56,4.34,Eastern Europe
41,Egypt,4.06,3.86,4.92,4.5,4.73,4.27,5.64,2.81,3.91,5.36,5.8,3.24,4.85,5.17,5.9,5.56,3.18,3.28,Middle East,41,5.79,3.25,5.22,5.11,5.2,5.6,5.65,3.28,5.52,5.06,6.05,4.37,5.81,3.41,4.49,5.25,5.5,2.35,5.5,4.63,4.63,5.57,5.55,4.21,4.69,5.15,4.49,Middle East
42,Spain,3.97,3.51,5.52,3.85,3.32,4.01,5.45,3.01,4.42,4.76,5.63,2.26,5.2,5.69,5.8,5.79,4.82,4.0,Latin Europe,42,6.25,2.6,4.76,4.8,5.72,5.95,5.73,2.48,5.91,4.57,6.11,4.11,5.66,1.84,3.54,4.23,6.34,1.77,6.26,4.24,4.83,5.9,5.93,3.38,5.11,4.66,3.54,Latin Europe
43,South Africa (Black Sample),4.59,4.64,4.11,4.39,4.34,4.66,5.09,3.66,4.36,4.79,5.2,3.65,4.3,5.07,4.92,4.99,4.26,3.82,Anglo,43,5.47,2.89,4.54,4.33,5.12,4.83,4.91,3.18,5.39,5.15,5.36,4.16,5.59,2.76,3.94,3.97,5.56,2.67,5.32,3.85,4.98,5.16,5.23,3.62,5.04,4.79,3.94,Anglo
46,Guatemala,3.3,3.24,5.6,3.7,3.89,3.81,5.63,3.02,3.89,4.88,5.91,2.35,5.23,5.26,6.14,6.14,4.53,3.64,Latin America,46,6.09,2.35,5.27,5.71,5.87,5.77,5.23,3.05,6.06,4.68,6.24,4.38,6.12,1.87,3.38,5.17,6.25,1.59,6.09,4.55,5.25,6.0,5.94,3.77,5.45,5.0,3.38,Latin America
48,Ireland,4.3,3.98,5.15,4.63,4.96,4.36,5.14,3.21,3.92,4.02,5.22,2.71,4.59,5.47,5.98,5.74,5.14,3.99,Anglo,48,6.38,2.48,5.11,5.11,5.46,6.14,5.44,2.48,6.33,5.01,6.19,3.5,5.6,1.99,3.95,3.63,6.33,1.66,6.19,3.36,5.76,6.08,5.81,3.0,5.64,5.06,3.95,Anglo
49,Bolivia,3.35,3.61,4.51,4.04,4.05,3.61,5.47,3.55,3.79,4.7,5.63,3.41,5.1,5.07,6.05,6.0,4.75,3.73,Latin America,49,6.04,2.79,4.43,4.94,5.77,6.27,5.99,2.83,6.2,4.77,6.29,4.85,6.3,2.34,3.92,5.35,6.28,1.79,6.25,3.88,5.37,6.01,6.1,3.83,5.29,4.56,3.92,Latin America
51,Austria,5.16,4.46,4.95,4.3,3.72,4.44,4.85,3.09,4.62,3.66,5.11,2.44,4.73,5.76,6.1,5.27,4.83,2.81,Germanic Europe,51,6.23,1.9,5.05,5.03,5.34,5.96,5.43,2.56,6.13,4.8,6.46,3.36,5.8,1.99,4.47,3.86,6.34,1.54,5.67,3.57,5.89,6.02,5.74,3.07,6.0,4.93,4.47,Germanic Europe
55,Switzerland,5.37,4.73,4.9,4.06,3.6,4.94,3.97,2.97,4.51,3.16,4.79,2.44,4.69,5.54,5.82,4.94,4.92,3.21,Germanic Europe,55,6.08,1.91,4.88,4.88,5.25,5.86,5.27,2.46,6.12,4.65,6.36,3.0,5.51,2.0,4.13,3.81,6.25,1.6,5.59,3.36,5.8,5.93,5.61,2.92,5.94,4.76,4.13,Germanic Europe
56,Netherlands,4.7,4.61,4.11,4.46,3.86,4.32,3.7,3.5,4.32,3.24,5.07,2.45,4.55,5.2,5.49,5.17,4.99,3.02,Germanic Europe,56,5.95,2.08,4.71,4.79,5.42,5.87,5.43,2.23,6.3,4.98,6.52,3.22,5.43,1.75,3.53,3.93,6.38,1.62,6.01,3.26,5.59,5.98,5.75,2.87,5.75,4.82,3.53,Germanic Europe
57,France,4.43,3.48,5.28,3.93,3.4,4.11,4.37,3.64,4.13,4.26,4.96,2.76,4.86,5.67,5.65,5.42,4.4,3.38,Latin Europe,57,5.1,2.36,4.27,3.98,4.73,5.06,5.01,2.19,5.06,3.29,5.14,3.17,4.53,1.86,3.32,3.35,5.22,1.95,5.11,3.41,6.14,4.93,5.11,2.81,5.9,3.82,3.32,Latin Europe
58,French Switzerland,4.98,4.27,4.86,4.22,3.93,4.25,3.85,3.42,3.47,3.83,4.8,2.8,4.31,5.62,5.98,5.35,4.69,3.78,Latin Europe,58,5.82,2.91,4.52,5.27,5.26,5.79,5.61,2.34,6.1,4.64,6.11,3.21,5.17,1.98,4.02,3.58,6.31,1.84,5.84,3.51,5.5,5.9,5.62,2.94,5.3,4.55,4.02,Latin Europe
60,Australia,4.39,4.09,4.74,4.29,4.28,4.36,4.17,3.4,4.28,3.98,5.15,2.78,4.4,5.58,5.89,5.75,5.02,3.81,Anglo,60,6.35,2.28,5.09,5.14,5.52,6.02,5.56,2.67,6.24,5.12,6.36,3.56,5.41,1.91,3.95,3.82,6.4,1.63,6.1,3.28,5.69,6.09,5.81,3.05,5.71,5.1,3.95,Anglo
61,Greece,3.39,3.4,5.4,3.25,3.34,3.2,5.27,3.48,4.58,5.09,5.19,2.39,5.4,5.23,5.81,5.46,4.89,2.96,Eastern Europe,61,5.82,2.14,5.28,5.42,5.76,6.18,6.01,3.05,6.19,5.02,6.27,3.74,6.18,2.1,3.98,5.12,6.25,1.55,6.19,3.62,5.75,6.01,6.12,3.49,5.81,5.16,3.98,Eastern Europe
62,Sweden,5.32,4.39,4.85,5.22,4.1,3.72,3.66,3.84,3.38,3.6,4.89,2.7,3.94,5.65,5.8,6.04,5.15,3.61,Nordic Europe,62,5.96,2.41,4.59,4.81,5.5,5.59,5.27,2.39,6.05,4.96,6.29,3.19,5.44,1.79,3.97,3.3,6.31,1.52,5.98,3.33,5.49,5.84,5.75,2.81,5.54,4.73,3.97,Nordic Europe
65,South Africa (White Sample),4.09,4.13,5.16,4.62,3.49,4.11,4.5,3.27,4.6,4.67,5.66,2.64,4.38,5.65,6.23,5.91,4.6,3.69,Anglo,65,6.01,2.3,5.33,5.01,5.61,6.07,5.43,2.78,6.15,5.35,6.35,3.53,5.74,2.1,3.74,3.78,6.33,1.81,6.02,3.69,5.54,5.99,5.8,3.19,5.62,5.33,3.74,Anglo
